habitat,ponto,altura,temp,umidrel
mata,m1,0,32,55
mata,m1,1,31.7,54
mata,m2,0,31,53
mata,m2,1,30.8,54
mata,m3,0,30.3,58
mata,m3,1,30.2,57
mata,m4,0,29.4,59
mata,m4,1,29.3,60
mata,m5,0,29.7,60
mata,m5,1,29.5,57
mata,m6,0,28.8,60
mata,m6,1,28.7,59
mata,m7,0,29.4,64
mata,m7,1,29.5,60
borda,b1,0,29.2,53
borda,b1,1,29.1,51
borda,b2,0,28.6,61
borda,b2,1,28.5,58
borda,bc3,0,29.2,60
borda,bc3,1,28.1,59
borda,b4,0,27.6,59
borda,b4,1,27.4,57
borda,b5,0,27.2,62
borda,b5,1,27.1,70
sol,s1,0,27.1,59
sol,s1,1,27.3,59
sol,s2,0,28.1,62
sol,s2,1,28.6,70
sol,sc3,0,29.2,58
sol,sc3,1,29.4,59
sol,s4,0,29.4,53
sol,s4,1,29.3,55
sol,s5,0,29.7,55
sol,s5,1,30,55
