SCIENTIFIC NAME,LATITUDE,LONGITUDE,OBSERVATION DATE
Pyrocephalus rubinus,-9.91667,-67.75,1988-10-20
Pyrocephalus rubinus,-10.5897885,-67.9754913,2007-09-13
Pyrocephalus rubinus,-9.9554938,-67.8652954,2008-05-23
Pyrocephalus rubinus,-9.7828213,-67.1244049,2008-05-27
Pyrocephalus rubinus,-9.1966604,-71.9444639,2010-07-29
Pyrocephalus rubinus,-9.9713444,-67.8067589,2011-08-27
Pyrocephalus rubinus,-10.8351044,-69.2634887,2013-07-28
Pyrocephalus rubinus,-9.9009452,-68.4088783,2014-05-30
Pyrocephalus rubinus,-9.6796441,-67.655345,2014-06-01
Pyrocephalus rubinus,-9.9923504,-68.1258345,2016-05-14
Pyrocephalus rubinus,-9.12919,-68.95262,2016-08-11
Pyrocephalus rubinus,-9.12919,-68.95262,2016-08-12
Pyrocephalus rubinus,-9.129209,-68.95262,2016-08-08
Pyrocephalus rubinus,-9.998429,-68.205104,2016-08-07
Pyrocephalus rubinus,-9.129209,-68.95262,2016-08-08
Pyrocephalus rubinus,-9.9549397,-67.8651127,2016-10-22
Pyrocephalus rubinus,-9.9549397,-67.8651127,2016-10-22
Pyrocephalus rubinus,-8.6673983,-69.6333883,2017-08-12
Pyrocephalus rubinus,-9.9549397,-67.8651127,2018-05-08
Pyrocephalus rubinus,-9.998429,-68.205104,2018-07-22
Pyrocephalus rubinus,-9.998429,-68.205104,2018-07-16
Pyrocephalus rubinus,-9.998429,-68.205104,2018-07-16
Pyrocephalus rubinus,-9.998429,-68.205104,2018-07-16
Pyrocephalus rubinus,-9.1301623,-68.952457,2018-10-10
Pyrocephalus rubinus,-9.1301623,-68.952457,2018-10-13
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-05-08
Pyrocephalus rubinus,-9.358339,-69.9267554,2019-05-05
Pyrocephalus rubinus,-9.358339,-69.9267554,2019-05-05
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-05-07
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-05-07
Pyrocephalus rubinus,-9.358339,-69.9267554,2019-05-05
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-05-08
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-05-07
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-05-08
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-05-07
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-05-05
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-05-08
Pyrocephalus rubinus,-10.707424,-69.584538,2019-08-04
Pyrocephalus rubinus,-10.884623,-69.58085,2019-08-10
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-09-29
Pyrocephalus rubinus,-9.998429,-68.205104,2019-09-22
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-09-27
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-09-27
Pyrocephalus rubinus,-9.998429,-68.205104,2019-09-20
Pyrocephalus rubinus,-9.998429,-68.205104,2019-09-20
Pyrocephalus rubinus,-9.3576114,-69.9265154,2019-09-27
Pyrocephalus rubinus,-4.3228256,-70.2089464,1973-08-20
Pyrocephalus rubinus,-4.3085748,-70.277731,1979-08-29
Pyrocephalus rubinus,-3.0156841,-60.0935948,1985-06-29
Pyrocephalus rubinus,-2.6291739,-60.9328225,2001-06-19
Pyrocephalus rubinus,-4.4096151,-59.8744583,2003-07-29
Pyrocephalus rubinus,-7.5076742,-63.0271912,2003-07-19
Pyrocephalus rubinus,-4.2889,-70.2948,2004-08-15
Pyrocephalus rubinus,-3.0634102,-64.8494196,2007-08-13
Pyrocephalus rubinus,-4.2889,-70.2948,2008-05-25
